iter	Passed	Remaining
0	172	172011
1	182	91009
2	194	64568
3	206	51424
4	216	43143
5	230	38137
6	243	34530
7	253	31481
8	264	29087
9	275	27274
10	285	25648
11	294	24212
12	304	23097
13	313	22091
14	324	21282
15	334	20581
16	344	19929
17	356	19446
18	365	18894
19	376	18430
20	387	18060
21	398	17701
22	409	17379
23	421	17126
24	431	16824
25	440	16513
26	451	16280
27	461	16012
28	470	15766
29	482	15590
30	491	15353
31	502	15188
32	512	15015
33	522	14835
34	533	14705
35	543	14545
36	553	14403
37	565	14307
38	575	14179
39	585	14049
40	596	13957
41	608	13880
42	618	13762
43	627	13624
44	635	13483
45	645	13390
46	654	13276
47	665	13192
48	674	13089
49	682	12967
50	692	12892
51	703	12826
52	712	12724
53	721	12644
54	731	12564
55	740	12475
56	748	12378
57	756	12293
58	764	12197
59	775	12153
60	786	12103
61	796	12052
62	806	11989
63	814	11916
64	823	11848
65	831	11770
66	840	11708
67	848	11633
68	855	11548
69	862	11464
70	869	11380
71	877	11314
72	886	11254
73	894	11187
74	903	11140
75	914	11121
76	923	11066
77	932	11024
78	941	10970
79	950	10931
80	957	10863
81	968	10838
82	976	10784
83	984	10741
84	993	10689
85	1001	10648
86	1010	10608
87	1024	10618
88	1034	10590
89	1045	10574
90	1055	10547
91	1066	10524
92	1076	10497
93	1085	10460
94	1096	10442
95	1104	10404
96	1115	10388
97	1125	10360
98	1134	10329
99	1145	10308
100	1154	10276
101	1164	10256
102	1175	10237
103	1185	10209
104	1196	10196
105	1206	10179
106	1218	10171
107	1228	10150
108	1240	10139
109	1251	10123
110	1262	10108
111	1271	10082
112	1282	10064
113	1292	10047
114	1302	10027
115	1312	10001
116	1323	9991
117	1334	9972
118	1344	9952
119	1354	9935
120	1368	9939
121	1379	9924
122	1389	9909
123	1398	9880
124	1408	9860
125	1418	9842
126	1428	9819
127	1435	9779
128	1444	9752
129	1454	9732
130	1463	9705
131	1472	9681
132	1480	9652
133	1488	9621
134	1497	9598
135	1505	9567
136	1516	9553
137	1525	9528
138	1534	9503
139	1544	9486
140	1554	9469
