iter	Passed	Remaining
0	4	4488
1	8	4172
2	12	4022
3	16	4101
4	20	3995
5	22	3791
6	26	3754
7	30	3728
8	33	3697
9	37	3676
10	40	3657
11	44	3676
12	48	3663
13	51	3649
14	55	3628
15	58	3623
16	62	3633
17	66	3644
18	70	3650
19	75	3675
20	78	3679
21	82	3684
22	87	3695
23	90	3699
24	94	3698
25	98	3695
26	101	3671
27	105	3670
28	109	3673
29	113	3677
30	117	3685
31	121	3686
32	125	3689
33	129	3691
34	133	3692
35	137	3691
36	141	3689
37	145	3693
38	149	3690
39	153	3687
40	157	3691
41	162	3712
42	167	3722
43	171	3732
44	177	3758
45	181	3767
46	185	3763
47	189	3765
48	193	3762
49	197	3759
50	201	3753
51	205	3751
52	209	3747
53	213	3743
54	217	3740
55	221	3738
56	225	3735
57	229	3730
58	233	3725
59	237	3721
60	241	3716
61	245	3712
62	249	3708
63	253	3705
64	257	3702
65	261	3698
66	265	3697
67	269	3693
68	273	3688
69	277	3688
70	281	3686
71	285	3681
72	289	3676
73	293	3672
74	297	3669
75	301	3664
76	305	3660
77	309	3656
78	313	3653
79	317	3649
80	321	3649
81	325	3647
82	329	3645
83	334	3648
84	339	3650
85	343	3651
86	348	3653
87	353	3660
88	357	3663
89	362	3662
90	367	3670
91	372	3673
92	376	3672
93	380	3669
94	384	3663
95	389	3663
96	393	3658
97	396	3653
98	400	3647
99	404	3643
100	408	3638
101	412	3632
102	416	3628
103	420	3623
104	424	3618
105	428	3612
106	432	3606
107	436	3601
108	440	3598
109	444	3594
110	448	3590
111	452	3585
112	456	3584
113	460	3579
114	464	3574
115	468	3571
116	472	3566
117	476	3562
118	480	3557
119	484	3552
120	488	3548
121	492	3543
122	496	3538
123	500	3533
124	504	3528
125	507	3522
126	511	3518
127	515	3513
128	519	3508
129	523	3503
130	527	3499
131	531	3494
132	535	3490
133	539	3487
134	544	3489
135	548	3486
136	553	3486
137	558	3487
138	563	3492
139	568	3490
140	572	3487
141	576	3483
142	580	3478
143	584	3474
144	589	3473
145	592	3468
146	596	3463
147	600	3458
148	604	3452
149	608	3448
150	612	3443
151	616	3438
152	620	3434
153	624	3429
154	628	3424
155	632	3420
156	638	3426
157	642	3421
158	645	3415
159	649	3409
160	653	3403
161	656	3397
162	660	3391
163	664	3385
164	668	3382
165	672	3377
166	675	3371
167	679	3366
168	683	3360
169	687	3354
170	690	3348
171	694	3343
172	698	3337
173	701	3331
174	705	3325
175	709	3320
176	712	3314
177	716	3308
178	720	3302
179	724	3298
180	728	3294
181	731	3289
182	735	3284
183	741	3286
184	745	3284
185	749	3282
186	754	3279
187	759	3280
188	763	3277
189	768	3274
190	772	3271
191	776	3267
192	780	3262
193	784	3258
194	788	3254
195	792	3249
196	796	3244
197	799	3239
198	803	3236
199	807	3231
200	811	3227
201	815	3222
202	819	3218
203	823	3213
204	827	3208
205	831	3204
206	835	3200
207	839	3196
208	843	3191
209	847	3187
210	851	3182
211	855	3178
212	858	3173
213	862	3169
214	866	3165
215	870	3160
216	874	3156
217	878	3152
218	882	3148
219	886	3143
220	890	3139
221	894	3135
222	898	3130
223	902	3126
224	906	3122
225	910	3117
226	914	3113
227	918	3109
228	922	3104
229	926	3100
230	930	3095
231	934	3095
232	939	3092
233	943	3089
234	949	3091
235	956	3096
236	965	3107
237	973	3115
238	979	3118
239	986	3124
240	992	3125
241	998	3126
242	1004	3130
243	1009	3128
244	1014	3126
245	1022	3135
246	1028	3136
247	1033	3132
248	1037	3128
249	1041	3124
250	1045	3118
251	1048	3112
252	1052	3106
253	1055	3100
254	1059	3094
255	1062	3088
256	1066	3083
257	1070	3077
258	1073	3071
259	1076	3064
260	1080	3058
261	1083	3052
262	1087	3046
263	1090	3040
264	1094	3035
265	1098	3029
266	1101	3024
267	1105	3018
268	1108	3012
269	1112	3007
270	1115	3001
271	1119	2995
272	1122	2990
273	1127	2986
274	1130	2981
275	1134	2976
276	1138	2972
277	1142	2967
278	1146	2962
279	1149	2956
280	1153	2951
281	1156	2945
282	1160	2939
283	1163	2933
284	1167	2928
285	1170	2921
286	1174	2916
287	1177	2910
288	1180	2905
289	1184	2899
290	1187	2893
291	1190	2886
292	1194	2881
293	1197	2876
294	1201	2871
295	1204	2864
296	1208	2859
297	1211	2853
298	1214	2848
299	1217	2841
300	1221	2836
301	1224	2830
302	1228	2824
303	1231	2819
304	1234	2813
305	1238	2808
306	1241	2802
307	1245	2799
308	1249	2794
309	1253	2789
310	1256	2784
311	1261	2781
312	1265	2776
313	1268	2771
314	1272	2766
315	1276	2763
316	1280	2758
317	1283	2753
318	1287	2748
319	1291	2743
320	1294	2738
321	1298	2734
322	1302	2729
323	1305	2724
324	1309	2719
325	1313	2715
326	1317	2711
327	1322	2708
328	1326	2705
329	1330	2701
330	1334	2697
331	1338	2693
332	1342	2688
333	1346	2684
334	1349	2679
335	1354	2675
336	1358	2671
337	1361	2667
338	1365	2663
339	1369	2659
340	1373	2655
341	1378	2651
342	1382	2647
343	1386	2643
344	1390	2639
345	1394	2635
346	1398	2632
347	1402	2627
348	1406	2622
349	1409	2618
350	1414	2614
351	1418	2611
352	1421	2606
353	1425	2601
354	1429	2596
355	1432	2591
356	1436	2586
357	1439	2581
358	1443	2577
359	1447	2573
360	1451	2569
361	1454	2564
362	1459	2561
363	1463	2557
364	1467	2552
365	1471	2548
366	1474	2543
367	1478	2539
368	1481	2533
369	1485	2529
370	1488	2524
371	1492	2519
372	1496	2514
373	1499	2509
374	1503	2505
375	1507	2501
376	1511	2498
377	1515	2493
378	1519	2490
379	1523	2486
380	1528	2482
381	1531	2478
382	1535	2473
383	1539	2468
384	1542	2464
385	1546	2459
386	1549	2454
387	1553	2449
388	1557	2445
389	1560	2440
390	1565	2437
391	1568	2433
392	1572	2428
393	1575	2423
394	1579	2419
395	1583	2415
396	1587	2411
397	1591	2406
398	1594	2401
399	1598	2397
400	1602	2393
401	1605	2388
402	1609	2383
403	1612	2379
404	1616	2375
405	1620	2370
406	1623	2365
407	1627	2361
408	1631	2356
409	1634	2352
410	1638	2347
411	1642	2343
412	1646	2339
413	1650	2336
414	1652	2329
415	1656	2325
416	1660	2320
417	1663	2316
418	1667	2312
419	1670	2307
420	1674	2302
421	1677	2297
422	1680	2292
423	1684	2287
424	1687	2282
425	1690	2278
426	1695	2274
427	1698	2270
428	1701	2264
429	1704	2259
430	1707	2254
431	1710	2249
432	1714	2244
433	1719	2242
434	1724	2239
435	1731	2239
436	1735	2235
437	1740	2233
438	1747	2233
439	1751	2229
440	1754	2224
441	1759	2220
442	1764	2218
443	1768	2215
444	1772	2210
445	1776	2206
446	1780	2202
447	1783	2196
448	1785	2191
449	1789	2186
450	1792	2181
451	1795	2176
452	1798	2171
453	1801	2166
454	1804	2161
455	1807	2156
456	1810	2151
457	1813	2146
458	1816	2140
459	1819	2136
460	1822	2131
461	1825	2125
462	1828	2120
463	1831	2115
464	1834	2110
465	1837	2105
466	1840	2100
467	1843	2095
468	1845	2089
469	1848	2084
470	1851	2079
471	1854	2074
472	1857	2069
473	1860	2065
474	1863	2059
475	1866	2055
476	1869	2050
477	1872	2044
478	1875	2039
479	1878	2034
480	1881	2030
481	1884	2025
482	1887	2020
483	1890	2015
484	1893	2010
485	1897	2006
486	1901	2003
487	1905	1999
488	1909	1995
489	1914	1992
490	1919	1989
491	1922	1985
492	1927	1981
493	1931	1978
494	1935	1974
495	1939	1970
496	1943	1967
497	1947	1962
498	1950	1958
499	1954	1954
500	1958	1950
501	1961	1946
502	1965	1941
503	1968	1937
504	1972	1933
505	1975	1929
506	1979	1924
507	1982	1920
508	1986	1916
509	1990	1911
510	1993	1907
511	1997	1903
512	2000	1899
513	2004	1895
514	2007	1890
515	2011	1886
516	2014	1882
517	2018	1878
518	2022	1873
519	2025	1869
520	2028	1865
521	2032	1861
522	2036	1857
523	2039	1852
524	2042	1848
525	2045	1843
526	2049	1839
527	2052	1834
528	2055	1830
529	2058	1825
530	2062	1821
531	2065	1817
532	2068	1812
533	2072	1808
534	2075	1803
535	2078	1799
536	2083	1796
537	2087	1792
538	2090	1788
539	2094	1784
540	2098	1780
541	2101	1776
542	2105	1772
543	2109	1768
544	2112	1763
545	2116	1759
546	2119	1755
547	2122	1751
548	2126	1746
549	2130	1743
550	2134	1739
551	2138	1735
552	2141	1731
553	2145	1727
554	2149	1723
555	2152	1719
556	2156	1715
557	2160	1711
558	2164	1707
559	2167	1703
560	2171	1699
561	2176	1696
562	2180	1692
563	2185	1689
564	2189	1685
565	2193	1681
566	2197	1678
567	2201	1674
568	2205	1670
569	2209	1666
570	2212	1662
571	2216	1658
572	2219	1654
573	2223	1650
574	2227	1646
575	2230	1641
576	2234	1637
577	2237	1633
578	2241	1629
579	2244	1625
580	2248	1621
581	2251	1617
582	2255	1613
583	2258	1609
584	2262	1604
585	2265	1600
586	2269	1596
587	2272	1592
588	2276	1588
589	2280	1584
590	2284	1580
591	2288	1576
592	2291	1573
593	2295	1569
594	2299	1565
595	2304	1561
596	2307	1557
597	2310	1553
598	2314	1549
599	2318	1545
600	2321	1541
601	2324	1537
602	2328	1533
603	2332	1528
604	2335	1524
605	2338	1520
606	2342	1516
607	2346	1512
608	2349	1508
609	2352	1504
610	2356	1500
611	2359	1496
612	2363	1492
613	2366	1487
614	2370	1483
615	2373	1479
616	2377	1475
617	2380	1471
618	2384	1467
619	2387	1463
620	2390	1459
621	2394	1455
622	2397	1451
623	2401	1446
624	2404	1442
625	2408	1438
626	2411	1434
627	2415	1430
628	2418	1426
629	2422	1422
630	2425	1418
631	2429	1414
632	2432	1410
633	2436	1406
634	2439	1402
635	2442	1397
636	2445	1393
637	2448	1389
638	2452	1385
639	2455	1381
640	2458	1376
641	2461	1372
642	2467	1370
643	2471	1366
644	2474	1362
645	2478	1358
646	2485	1355
647	2490	1352
648	2497	1350
649	2502	1347
650	2508	1344
651	2513	1341
652	2518	1338
653	2522	1334
654	2526	1330
655	2533	1328
656	2538	1325
657	2542	1321
658	2546	1317
659	2549	1313
660	2552	1309
661	2556	1305
662	2559	1301
663	2563	1297
664	2566	1293
665	2570	1288
666	2573	1284
667	2577	1280
668	2580	1276
669	2584	1272
670	2587	1268
671	2591	1264
672	2595	1260
673	2598	1257
674	2602	1253
675	2605	1248
676	2609	1245
677	2613	1241
678	2617	1237
679	2620	1233
680	2625	1229
681	2629	1225
682	2633	1222
683	2637	1218
684	2641	1214
685	2645	1211
686	2649	1207
687	2653	1203
688	2657	1199
689	2661	1195
690	2664	1191
691	2668	1187
692	2672	1184
693	2677	1180
694	2680	1176
695	2684	1172
696	2689	1168
697	2693	1165
698	2697	1161
699	2702	1158
700	2706	1154
701	2710	1150
702	2713	1146
703	2717	1142
704	2721	1138
705	2725	1134
706	2728	1130
707	2732	1126
708	2736	1123
709	2740	1119
710	2743	1115
711	2747	1111
712	2751	1107
713	2755	1103
714	2759	1099
715	2762	1095
716	2767	1092
717	2770	1088
718	2774	1084
719	2778	1080
720	2782	1076
721	2786	1072
722	2789	1068
723	2793	1064
724	2798	1061
725	2801	1057
726	2805	1053
727	2808	1049
728	2812	1045
729	2816	1041
730	2820	1037
731	2824	1033
732	2828	1030
733	2832	1026
734	2836	1022
735	2839	1018
736	2844	1015
737	2848	1011
738	2851	1007
739	2855	1003
740	2859	999
741	2862	995
742	2866	991
743	2869	987
744	2874	983
745	2878	980
746	2882	976
747	2885	972
748	2889	968
749	2893	964
750	2897	960
751	2901	956
752	2905	953
753	2909	949
754	2913	945
755	2916	941
756	2920	937
757	2923	933
758	2927	929
759	2930	925
760	2934	921
761	2937	917
762	2941	913
763	2945	909
764	2948	905
765	2952	901
766	2955	897
767	2959	893
768	2962	889
769	2966	885
770	2969	882
771	2973	878
772	2976	874
773	2980	870
774	2984	866
775	2987	862
776	2990	858
777	2994	854
778	2998	850
779	3001	846
780	3005	842
781	3008	838
782	3012	834
783	3015	830
784	3019	826
785	3023	823
786	3027	819
787	3031	815
788	3034	811
789	3038	807
790	3042	803
791	3046	800
792	3049	796
793	3053	792
794	3057	788
795	3062	784
796	3066	781
797	3070	777
798	3074	773
799	3078	769
800	3082	765
801	3086	761
802	3090	758
803	3094	754
804	3098	750
805	3102	746
806	3106	742
807	3109	738
808	3113	735
809	3117	731
810	3120	727
811	3124	723
812	3127	719
813	3131	715
814	3135	711
815	3138	707
816	3142	703
817	3145	699
818	3149	696
819	3152	692
820	3156	688
821	3159	684
822	3163	680
823	3166	676
824	3170	672
825	3173	668
826	3177	664
827	3180	660
828	3184	656
829	3187	652
830	3191	649
831	3194	645
832	3198	641
833	3201	637
834	3205	633
835	3208	629
836	3212	625
837	3216	621
838	3219	617
839	3223	613
840	3226	609
841	3229	606
842	3233	602
843	3237	598
844	3240	594
845	3244	590
846	3247	586
847	3251	582
848	3255	579
849	3259	575
850	3263	571
851	3266	567
852	3270	563
853	3274	559
854	3278	555
855	3282	552
856	3286	548
857	3289	544
858	3294	540
859	3297	536
860	3300	532
861	3304	528
862	3307	525
