iter	RMSE
0	28.60476425
1	27.29765601
2	26.04324833
3	24.83658457
4	23.69214313
5	22.62041242
6	21.57780405
7	20.58538251
8	19.66361723
9	18.76075949
10	17.90242184
11	17.09453702
12	16.31007302
13	15.5539045
14	14.84230178
15	14.17657118
16	13.51988198
17	12.90200322
18	12.32173356
19	11.76348262
20	11.22500627
21	10.71133604
22	10.22597398
23	9.764395824
24	9.334176731
25	8.907507608
26	8.513202231
27	8.122374017
28	7.756349387
29	7.401874935
30	7.066662024
31	6.751575184
32	6.443790617
33	6.150815127
34	5.870617815
35	5.602608865
36	5.352821115
37	5.114164194
38	4.886346168
39	4.667654963
40	4.466007564
41	4.267560124
42	4.080571025
43	3.900694969
44	3.732769651
45	3.570060693
46	3.410358635
47	3.265336608
48	3.122654725
49	2.991125413
50	2.864639016
51	2.743557337
52	2.624360682
53	2.51615419
54	2.414476074
55	2.315623727
56	2.221002939
57	2.128927426
58	2.042856174
59	1.965090381
60	1.888183538
61	1.816450281
62	1.748707075
63	1.683658793
64	1.621923216
65	1.562314741
66	1.507091603
67	1.453870686
68	1.403520397
69	1.359131516
70	1.314243908
71	1.271965807
72	1.231919235
73	1.194374624
74	1.161568387
75	1.127457947
76	1.096268167
77	1.069145289
78	1.040251933
79	1.013951643
80	0.9891919928
81	0.9650342887
82	0.9442798597
83	0.9235924478
84	0.9032433686
85	0.8841661027
86	0.8660782563
87	0.8507626696
88	0.8360024215
89	0.8208029777
90	0.8083007067
91	0.7945123159
92	0.7809420501
93	0.7700076399
94	0.7597221779
95	0.74945799
96	0.7396571575
97	0.7303959526
98	0.7218098581
99	0.7143581643
100	0.7073027453
101	0.7005549615
102	0.6934121514
103	0.6870895989
104	0.6819515217
105	0.6751163723
106	0.6686013522
107	0.6629535651
108	0.6570334202
109	0.6518157226
110	0.6461445482
111	0.6422077926
112	0.6378185855
113	0.6341118975
114	0.6305901499
115	0.6276929323
116	0.6244682409
117	0.6216347642
118	0.6178992452
119	0.6144423681
120	0.6115499576
121	0.6090694448
122	0.606754763
123	0.6041949972
124	0.6005162319
125	0.5984919088
126	0.5962328848
127	0.5938101776
128	0.5919006845
129	0.5900279309
130	0.5877958602
131	0.5863695327
132	0.5847340116
133	0.583510626
134	0.5821022647
135	0.5808397445
136	0.5793316372
137	0.5773136155
138	0.5743271211
139	0.5734275795
140	0.5708906315
141	0.569851459
142	0.5672118418
143	0.5659228578
144	0.56383546
145	0.5619633827
146	0.5607226407
147	0.5599140205
148	0.5581499274
149	0.5563106412
150	0.5547250036
151	0.5533928347
152	0.5526882772
153	0.5494435398
154	0.5478218932
155	0.5452343876
156	0.5438631565
157	0.5429905966
158	0.5413140759
159	0.5397017673
160	0.5374146354
161	0.5361267054
162	0.5343096615
163	0.5330266414
164	0.5320057111
165	0.5308927145
166	0.5298981282
167	0.5273836785
168	0.5254006313
169	0.5248651817
170	0.5235620381
171	0.5227778677
172	0.5207156159
173	0.5191915865
174	0.5187040638
175	0.5183054959
176	0.5171031682
177	0.5166135596
178	0.5157929182
179	0.5144993736
180	0.5138286217
181	0.5134962294
182	0.5131125696
183	0.5128824405
184	0.5113135984
185	0.5103674513
186	0.5093958906
187	0.5081568384
188	0.5070722384
189	0.506726184
190	0.5053313302
191	0.5046769861
192	0.5043653671
193	0.5041222217
194	0.5025668285
195	0.5020306114
196	0.5016044261
197	0.5003882928
198	0.4998434067
199	0.4985125825
200	0.4981831515
201	0.4975952196
202	0.4963568998
203	0.4952726717
204	0.4947035133
205	0.4936474877
206	0.4928080199
207	0.4922058622
208	0.4902133461
209	0.4892142034
210	0.4873413319
211	0.4868210572
212	0.485869899
213	0.4854997999
214	0.4847792645
215	0.4841457877
216	0.4833382336
217	0.4829225432
218	0.4823118632
219	0.4818696337
220	0.481236069
221	0.4798677142
222	0.4794824287
223	0.4777763954
224	0.4769177975
225	0.4751857821
226	0.4740062658
227	0.4734647139
228	0.4730141184
229	0.4725213427
230	0.4722580917
231	0.4719474798
232	0.4707880139
233	0.4695900633
234	0.4685715324
235	0.4677865824
236	0.4672884565
237	0.4669648312
238	0.4663103114
239	0.4652490651
240	0.464585883
241	0.4643646737
242	0.464100896
243	0.463083713
244	0.4621844544
245	0.4618366348
246	0.4615545206
247	0.4611367005
248	0.4602794865
249	0.4600315968
250	0.4584988698
251	0.4577890219
252	0.4563748668
253	0.4552568503
254	0.4543241462
255	0.4538664174
256	0.4536717598
257	0.4531604076
258	0.4528353429
259	0.4524532394
260	0.4516708966
261	0.4510908835
262	0.4507749755
263	0.4502389047
264	0.4492567738
265	0.4486663992
266	0.4483829008
267	0.4478248175
268	0.4469064075
269	0.4464418092
270	0.4453426441
271	0.4448793662
272	0.4444715454
273	0.4439470989
274	0.4436217596
275	0.4422728251
276	0.4421919238
277	0.4417187627
278	0.4414637535
279	0.4412196287
280	0.4403634599
281	0.4392051419
282	0.4389041076
283	0.4385640485
284	0.4383393789
285	0.4371618323
286	0.4369209491
287	0.4364020728
288	0.4360307441
289	0.435253573
290	0.4344496077
291	0.4335930496
292	0.4327574754
293	0.4326855514
294	0.4325924309
295	0.4318543271
296	0.4309315838
297	0.4305630969
298	0.4304232623
299	0.4302131516
300	0.4298024202
301	0.4296136768
302	0.4291269126
303	0.4288048202
304	0.4284584922
305	0.4282774183
306	0.4276082944
307	0.427427793
308	0.4270437799
309	0.4266568416
310	0.4255385334
311	0.4252129042
312	0.4246738233
313	0.4238286044
314	0.4235387082
315	0.4234478092
316	0.4232102553
317	0.4231230721
318	0.4226533066
319	0.4223122154
320	0.4219494587
321	0.4217337678
322	0.4211337794
323	0.4202277037
324	0.4194370495
325	0.4190119443
326	0.4187593262
327	0.4185579555
328	0.4183793334
329	0.4181065262
330	0.417991998
331	0.4169342706
332	0.4165450579
333	0.4163512359
334	0.4161427248
335	0.4159080051
336	0.4157581607
337	0.4155898822
338	0.414440855
339	0.4142671232
340	0.4137799081
341	0.4130540774
342	0.4123788409
343	0.411821381
344	0.4110668017
345	0.4106665052
346	0.4103427483
347	0.4099752233
348	0.4099096358
349	0.4091007178
350	0.4087723309
351	0.4084194336
352	0.408077568
353	0.4072017176
354	0.4068782623
355	0.4062606577
356	0.405402123
357	0.4050976742
358	0.4049074884
359	0.4040142831
360	0.4038324868
361	0.4033132498
362	0.4029142731
363	0.402774835
364	0.4025196454
365	0.4014779776
366	0.4012804215
367	0.4010688661
368	0.4009004051
369	0.40072
370	0.4002285135
371	0.3999988158
372	0.3991904759
373	0.398998178
374	0.3981295489
375	0.3978712373
376	0.3977131534
377	0.3974429608
378	0.3969897705
379	0.3969226589
380	0.3965338995
381	0.396345762
382	0.3958952336
383	0.3956988258
384	0.3955196078
385	0.3946882649
386	0.3945138365
387	0.3943958175
388	0.3941736371
389	0.3932733386
390	0.3926739162
391	0.3924992108
392	0.3921234193
393	0.3912901668
394	0.3911198315
395	0.3909643569
396	0.3907966193
397	0.3905744221
398	0.3902091671
399	0.3898369919
400	0.38926835
401	0.3887750382
402	0.3879945775
403	0.3872913232
404	0.3869494129
405	0.3863192846
406	0.3862736553
407	0.3859258031
408	0.3855951826
409	0.3854632972
410	0.3853092947
411	0.3848958697
412	0.384743251
413	0.384615652
414	0.3844080281
415	0.3838312387
416	0.3834127312
417	0.3831645448
418	0.3826455304
419	0.3823484346
420	0.3820173904
421	0.381508417
422	0.3812349021
423	0.3810696343
424	0.3807073542
425	0.380157032
426	0.3798562653
427	0.3794257438
428	0.3784965792
429	0.3778829844
430	0.3774375352
431	0.3773095798
432	0.3769256703
433	0.3766090111
434	0.3764849341
435	0.3761010919
436	0.3759402904
437	0.3753635523
438	0.3749666419
439	0.3748588162
440	0.3747047866
441	0.3743717971
442	0.3742341391
443	0.3741621556
444	0.3738634054
445	0.3733316503
446	0.3731094771
447	0.3729989894
448	0.3729552982
449	0.372159729
450	0.3720408327
451	0.3717587436
452	0.3708749728
453	0.3704877409
454	0.3701021134
455	0.3699252637
456	0.3694621427
457	0.3689542772
458	0.368785427
459	0.3684922632
460	0.3683830766
461	0.3682141368
462	0.3678226715
463	0.3673884556
464	0.3668623134
465	0.3661495846
466	0.3658126796
467	0.3654029181
468	0.3650418626
469	0.3647675269
470	0.3643123085
471	0.3637061833
472	0.3634740706
473	0.3628531349
474	0.3626483485
475	0.3622646334
476	0.3621079767
477	0.3618305837
478	0.3614222789
479	0.3611209165
480	0.3606316793
481	0.3603561425
482	0.3599268871
483	0.3596716581
484	0.3591789937
485	0.3589518934
486	0.358465588
487	0.3581703114
488	0.3579140601
489	0.3570978195
490	0.3569700228
491	0.356721765
492	0.3565101274
493	0.3559830382
494	0.3557195928
495	0.3556147809
496	0.355566404
497	0.3553883684
498	0.3551209418
499	0.3543021775
500	0.3539871747
501	0.3538248031
502	0.3534740306
503	0.3530180905
504	0.3526381599
505	0.352151183
506	0.3519098764
507	0.3516579
508	0.3515294826
509	0.3512823064
510	0.3509622773
511	0.3506329804
512	0.3505222205
513	0.3502564619
514	0.3499635128
515	0.3496998796
