iter	Passed	Remaining
0	168	168348
1	176	88292
2	180	59983
3	185	46217
4	189	37666
5	193	32010
6	197	27949
7	200	24889
8	203	22435
9	206	20454
10	209	18803
11	213	17604
12	217	16530
13	221	15602
14	225	14800
15	230	14163
16	232	13460
17	235	12847
18	238	12288
19	240	11807
20	243	11366
21	246	10955
22	249	10582
23	251	10233
24	254	9916
25	257	9627
26	259	9353
27	262	9096
28	264	8866
29	267	8645
30	269	8432
31	272	8241
32	274	8056
33	277	7889
34	280	7736
35	283	7581
36	285	7439
37	288	7305
38	291	7173
39	293	7046
40	296	6924
41	299	6821
42	301	6716
43	304	6610
44	307	6518
45	309	6422
46	312	6332
47	315	6255
48	317	6170
49	320	6089
50	323	6012
51	325	5935
52	328	5868
53	331	5798
54	333	5732
55	336	5667
56	339	5609
57	341	5551
58	344	5492
59	346	5433
60	349	5378
61	352	5329
62	354	5276
63	357	5223
64	361	5196
65	364	5152
66	366	5105
67	369	5069
68	372	5026
69	376	4999
70	379	4961
71	381	4920
72	384	4885
73	389	4870
74	392	4846
75	396	4817
76	399	4785
77	402	4752
78	406	4738
79	409	4708
80	412	4675
81	414	4643
82	417	4611
83	422	4607
84	425	4582
85	428	4554
86	431	4527
87	434	4504
88	437	4476
89	439	4448
90	442	4422
91	445	4396
92	448	4369
93	451	4347
94	453	4321
95	456	4296
96	459	4273
97	461	4251
98	465	4233
99	468	4215
100	471	4194
101	473	4171
102	476	4150
103	479	4129
104	482	4109
105	484	4089
106	487	4068
107	490	4049
108	492	4028
109	496	4013
110	498	3994
111	501	3973
112	503	3952
113	506	3935
114	509	3918
115	512	3904
116	514	3886
117	517	3868
118	520	3851
119	522	3834
120	525	3817
121	528	3803
122	531	3786
123	534	3774
124	536	3758
125	539	3743
126	543	3733
127	545	3716
128	548	3701
129	550	3686
130	553	3674
131	557	3668
132	561	3658
133	563	3644
134	566	3630
135	569	3618
136	572	3606
137	575	3593
138	578	3586
139	581	3572
140	584	3561
141	588	3557
142	591	3547
143	595	3537
144	597	3524
145	600	3513
146	603	3500
147	606	3489
148	608	3476
149	611	3463
150	614	3452
151	617	3443
152	620	3432
153	622	3422
154	625	3411
155	628	3400
156	631	3390
157	634	3380
158	637	3370
159	640	3360
160	643	3352
161	646	3343
162	649	3334
163	652	3324
164	655	3315
165	658	3306
166	661	3297
167	663	3287
168	666	3277
169	669	3268
170	672	3258
171	675	3253
172	678	3244
173	682	3240
174	685	3232
175	688	3224
176	691	3216
177	694	3208
178	697	3198
179	700	3189
180	702	3180
181	705	3171
182	708	3162
183	711	3155
184	714	3149
185	717	3140
186	720	3133
187	723	3124
188	726	3115
189	728	3106
190	731	3097
191	734	3089
192	736	3080
193	740	3075
194	743	3068
195	745	3059
196	748	3051
197	751	3043
198	754	3035
199	757	3028
200	759	3020
201	762	3013
202	766	3008
203	768	3000
204	771	2992
205	774	2986
206	777	2980
207	781	2975
208	784	2968
209	786	2960
210	789	2953
211	792	2945
212	795	2938
213	798	2931
214	800	2923
215	803	2916
216	806	2909
217	808	2900
218	811	2894
219	814	2887
220	817	2880
221	820	2875
222	823	2869
223	826	2863
224	829	2857
225	832	2850
226	834	2843
227	837	2836
228	841	2831
229	843	2824
230	846	2817
231	849	2810
232	851	2803
233	854	2797
234	857	2792
235	860	2786
236	863	2779
237	866	2772
238	868	2765
239	871	2760
240	874	2753
241	877	2748
242	880	2741
243	882	2735
244	885	2729
245	888	2722
246	890	2713
247	892	2705
248	894	2697
249	896	2688
250	898	2679
251	899	2670
252	901	2662
253	903	2653
254	905	2644
255	906	2635
256	908	2625
257	909	2616
258	911	2608
259	913	2598
260	915	2591
261	916	2582
262	918	2574
263	920	2565
264	921	2556
265	923	2547
266	924	2538
267	926	2530
268	928	2522
269	930	2514
270	931	2506
271	933	2498
272	935	2490
273	936	2482
274	938	2474
275	940	2465
276	941	2457
277	943	2449
278	945	2442
279	946	2434
280	948	2426
281	950	2419
282	952	2413
283	954	2405
284	956	2399
285	958	2392
286	959	2384
287	961	2377
288	963	2369
289	964	2361
290	966	2354
291	967	2346
292	969	2339
293	971	2332
294	973	2326
295	974	2318
296	976	2311
297	978	2304
298	979	2297
299	981	2290
300	983	2283
301	985	2276
302	986	2270
303	988	2263
304	990	2256
305	992	2250
306	993	2243
307	995	2236
308	997	2230
309	999	2223
310	1000	2217
311	1002	2210
312	1004	2204
313	1006	2197
314	1007	2191
315	1009	2184
316	1011	2178
317	1012	2172
318	1015	2166
319	1016	2160
320	1018	2154
321	1019	2147
322	1021	2141
323	1023	2135
324	1025	2129
325	1026	2122
326	1028	2116
327	1029	2110
328	1031	2103
329	1033	2097
330	1034	2091
331	1036	2085
332	1038	2079
333	1039	2073
334	1041	2067
335	1043	2061
336	1044	2055
337	1046	2049
338	1048	2044
339	1050	2038
340	1051	2032
341	1053	2027
342	1055	2022
343	1057	2016
344	1059	2010
345	1060	2005
346	1062	1999
347	1064	1994
348	1066	1988
349	1067	1983
350	1069	1977
351	1071	1972
352	1072	1966
353	1074	1961
354	1076	1955
355	1078	1950
356	1079	1945
357	1081	1939
358	1083	1934
359	1085	1929
360	1086	1923
361	1088	1918
362	1090	1912
363	1091	1907
364	1093	1902
365	1095	1897
366	1097	1893
367	1099	1888
368	1101	1883
369	1103	1879
370	1105	1874
371	1107	1869
372	1108	1863
373	1110	1858
374	1112	1853
375	1113	1848
376	1115	1843
377	1117	1838
378	1119	1833
379	1121	1829
380	1122	1824
381	1124	1819
382	1126	1814
383	1128	1810
384	1130	1806
385	1132	1801
386	1134	1797
387	1136	1792
388	1138	1787
389	1140	1783
390	1142	1778
391	1143	1774
392	1145	1769
393	1147	1764
394	1149	1759
395	1150	1755
396	1152	1750
397	1154	1746
398	1156	1741
399	1158	1737
400	1159	1732
401	1161	1727
402	1162	1722
403	1164	1718
404	1166	1713
405	1167	1708
406	1169	1703
407	1170	1699
408	1172	1694
409	1174	1690
410	1176	1685
411	1177	1680
412	1179	1676
413	1181	1672
414	1182	1667
415	1184	1663
416	1186	1658
417	1188	1654
418	1189	1649
419	1191	1645
420	1193	1641
421	1194	1636
422	1197	1633
423	1198	1628
424	1200	1624
425	1202	1619
426	1203	1615
427	1205	1611
428	1207	1607
429	1209	1602
430	1210	1598
431	1212	1594
432	1214	1590
433	1216	1585
434	1217	1581
435	1219	1577
436	1221	1573
437	1222	1569
438	1224	1565
439	1226	1560
440	1228	1556
441	1229	1552
442	1231	1548
443	1233	1544
444	1235	1540
445	1236	1536
446	1238	1532
447	1240	1528
448	1242	1524
449	1243	1520
450	1245	1516
451	1247	1512
452	1248	1508
453	1250	1504
454	1252	1500
455	1254	1496
456	1256	1492
457	1257	1488
458	1259	1484
459	1261	1480
460	1262	1476
461	1264	1472
462	1266	1468
463	1268	1464
464	1269	1461
465	1271	1457
466	1273	1453
467	1275	1449
468	1276	1445
469	1278	1441
470	1281	1438
471	1283	1435
472	1284	1431
473	1286	1427
474	1288	1423
475	1289	1419
476	1291	1416
477	1293	1412
478	1295	1408
479	1296	1405
480	1298	1401
481	1300	1397
482	1302	1393
483	1305	1391
484	1307	1388
485	1312	1387
486	1318	1388
487	1321	1386
488	1323	1383
489	1327	1381
490	1330	1379
491	1333	1376
492	1335	1373
493	1337	1369
494	1339	1366
495	1341	1362
496	1344	1360
497	1346	1357
498	1348	1354
499	1350	1350
500	1352	1347
501	1354	1343
502	1356	1340
503	1358	1336
504	1359	1332
505	1361	1329
506	1363	1325
507	1364	1321
508	1366	1318
509	1368	1314
510	1369	1310
511	1371	1307
512	1373	1303
513	1374	1299
514	1376	1296
515	1378	1292
516	1379	1288
517	1381	1285
518	1383	1281
519	1384	1278
520	1386	1274
521	1388	1271
522	1390	1267
523	1391	1264
524	1393	1260
525	1395	1257
526	1396	1253
527	1398	1250
528	1400	1246
529	1401	1243
530	1403	1239
531	1405	1236
532	1406	1232
533	1408	1229
534	1410	1225
535	1412	1222
536	1413	1218
537	1415	1215
538	1417	1212
539	1418	1208
540	1420	1205
541	1422	1202
542	1424	1198
543	1425	1195
544	1427	1191
545	1429	1188
546	1431	1185
547	1433	1182
548	1435	1178
549	1436	1175
550	1438	1172
551	1440	1169
552	1442	1166
553	1444	1162
554	1446	1159
555	1447	1156
556	1449	1152
557	1451	1149
558	1452	1146
559	1454	1142
560	1456	1139
561	1458	1136
562	1459	1133
563	1461	1129
564	1463	1126
565	1465	1123
566	1467	1120
567	1469	1117
568	1471	1114
569	1472	1111
